Line,BeforeContext,DefaultContext,AfterContext,jaccard,tarantula,ochiai,dstar
org.apache.commons.math.analysis.solvers.AbstractUnivariateRealSolver#37,65,64,66,0.0294,0.5147,0.1715,0.0303
org.apache.commons.math.analysis.solvers.AbstractUnivariateRealSolver#38,-1,-1,-1,0.0294,0.5147,0.1715,0.0303
org.apache.commons.math.analysis.solvers.AllowedSolution#41,-1,-1,-1,0.0313,0.5303,0.1768,0.0323
org.apache.commons.math.analysis.solvers.AllowedSolution#48,-1,-1,-1,0.0313,0.5303,0.1768,0.0323
org.apache.commons.math.analysis.solvers.AllowedSolution#55,-1,-1,-1,0.0313,0.5303,0.1768,0.0323
org.apache.commons.math.analysis.solvers.AllowedSolution#62,-1,-1,-1,0.0313,0.5303,0.1768,0.0323
org.apache.commons.math.analysis.solvers.AllowedSolution#68,-1,-1,-1,0.0313,0.5303,0.1768,0.0323
org.apache.commons.math.analysis.solvers.AllowedSolution#74,-1,-1,-1,0.0313,0.5303,0.1768,0.0323
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#110,15,14,16,0.0278,0.5000,0.1667,0.0286
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#116,15,14,16,0.0278,0.5000,0.1667,0.0286
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#128,15,14,16,0.0357,0.5645,0.1890,0.0370
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#134,15,14,16,0.0357,0.5645,0.1890,0.0370
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#140,15,14,16,0.0357,0.5645,0.1890,0.0370
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#153,85,70,87,0.0278,0.5000,0.1667,0.0286
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#154,87,86,88,0.0278,0.5000,0.1667,0.0286
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#173,211,394,396,0.0278,0.5000,0.1667,0.0286
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#176,396,1913,1210,0.0278,0.5000,0.1667,0.0286
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#177,1210,1209,24,0.0278,0.5000,0.1667,0.0286
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#178,24,381,383,0.0278,0.5000,0.1667,0.0286
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#179,383,1887,1889,0.0278,0.5000,0.1667,0.0286
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#180,1889,1914,1916,0.0278,0.5000,0.1667,0.0286
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#181,1916,1915,95,0.0278,0.5000,0.1667,0.0286
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#182,-1,-1,-1,0.0278,0.5000,0.1667,0.0286
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#187,85,70,87,0.0278,0.5000,0.1667,0.0286
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#190,87,86,88,0.0278,0.5000,0.1667,0.0286
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#195,15,14,16,0.0455,0.6250,0.2132,0.0476
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#282,128,120,122,0.0313,0.5303,0.1768,0.0323
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#283,-1,-1,-1,0.0357,0.5645,0.1890,0.0370
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#294,128,120,122,0.0278,0.5000,0.1667,0.0286
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#295,-1,-1,-1,1.0000,1.0000,1.0000,Infinity
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#296,1,0,2,1.0000,1.0000,1.0000,Infinity
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#297,-1,-1,-1,0.0278,0.5000,0.1667,0.0286
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#298,-1,-1,-1,0.0278,0.5000,0.1667,0.0286
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#49,-1,-1,-1,0.0278,0.5000,0.1667,0.0286
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#65,196,195,197,0.0294,0.5147,0.1715,0.0303
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#68,-1,-1,-1,0.0294,0.5147,0.1715,0.0303
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#92,-1,-1,-1,0.0278,0.5000,0.1667,0.0286
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#93,20,19,22,0.0278,0.5000,0.1667,0.0286
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#94,22,96,98,0.0278,0.5000,0.1667,0.0286
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#95,98,97,13,0.0278,0.5000,0.1667,0.0286
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver#96,-1,-1,-1,0.0278,0.5000,0.1667,0.0286
org.apache.commons.math.analysis.solvers.BaseSecantSolver#116,2803,2801,2804,0.0313,0.5303,0.1768,0.0323
org.apache.commons.math.analysis.solvers.BaseSecantSolver#117,2804,2798,514,0.0313,0.5303,0.1768,0.0323
org.apache.commons.math.analysis.solvers.BaseSecantSolver#124,15,14,16,0.0769,0.7447,0.2774,0.0833
org.apache.commons.math.analysis.solvers.BaseSecantSolver#130,55,951,953,0.0313,0.5303,0.1768,0.0323
org.apache.commons.math.analysis.solvers.BaseSecantSolver#131,953,952,633,0.0313,0.5303,0.1768,0.0323
org.apache.commons.math.analysis.solvers.BaseSecantSolver#132,633,634,635,0.0313,0.5303,0.1768,0.0323
org.apache.commons.math.analysis.solvers.BaseSecantSolver#133,635,710,536,0.0313,0.5303,0.1768,0.0323
org.apache.commons.math.analysis.solvers.BaseSecantSolver#138,536,1415,918,0.0313,0.5303,0.1768,0.0323
org.apache.commons.math.analysis.solvers.BaseSecantSolver#141,918,4205,4207,0.0313,0.5303,0.1768,0.0323
org.apache.commons.math.analysis.solvers.BaseSecantSolver#146,4207,5537,3133,0.0345,0.5556,0.1857,0.0357
org.apache.commons.math.analysis.solvers.BaseSecantSolver#149,3133,3132,1315,0.0385,0.5833,0.1961,0.0400
org.apache.commons.math.analysis.solvers.BaseSecantSolver#150,1315,1314,633,0.0385,0.5833,0.1961,0.0400
org.apache.commons.math.analysis.solvers.BaseSecantSolver#151,633,1316,782,0.0385,0.5833,0.1961,0.0400
org.apache.commons.math.analysis.solvers.BaseSecantSolver#155,782,1414,1428,0.0385,0.5833,0.1961,0.0400
org.apache.commons.math.analysis.solvers.BaseSecantSolver#160,55,342,344,0.0385,0.5833,0.1961,0.0400
org.apache.commons.math.analysis.solvers.BaseSecantSolver#161,344,534,536,0.0385,0.5833,0.1961,0.0400
org.apache.commons.math.analysis.solvers.BaseSecantSolver#166,536,1045,1046,0.0385,0.5833,0.1961,0.0400
org.apache.commons.math.analysis.solvers.BaseSecantSolver#171,1046,2665,79,0.0455,0.6250,0.2132,0.0476
org.apache.commons.math.analysis.solvers.BaseSecantSolver#174,20,19,22,0.0455,0.6250,0.2132,0.0476
org.apache.commons.math.analysis.solvers.BaseSecantSolver#175,22,96,98,0.0455,0.6250,0.2132,0.0476
org.apache.commons.math.analysis.solvers.BaseSecantSolver#176,98,97,13,0.0455,0.6250,0.2132,0.0476
org.apache.commons.math.analysis.solvers.BaseSecantSolver#178,1974,1952,1957,0.0465,0.6250,0.3015,0.0976
org.apache.commons.math.analysis.solvers.BaseSecantSolver#192,79,2662,2638,0.0455,0.6250,0.2132,0.0476
org.apache.commons.math.analysis.solvers.BaseSecantSolver#193,2638,2637,1331,0.0455,0.6250,0.2132,0.0476
org.apache.commons.math.analysis.solvers.BaseSecantSolver#198,1331,2076,2083,0.0455,0.6250,0.2132,0.0476
org.apache.commons.math.analysis.solvers.BaseSecantSolver#199,1974,1952,1957,0.0250,0.4730,0.1581,0.0256
org.apache.commons.math.analysis.solvers.BaseSecantSolver#229,2083,2082,53,0.0455,0.6250,0.2132,0.0476
org.apache.commons.math.analysis.solvers.BaseSecantSolver#246,-1,-1,-1,0.0455,0.6250,0.2132,0.0476
org.apache.commons.math.analysis.solvers.BaseSecantSolver#250,-1,-1,-1,0.0313,0.5303,0.1768,0.0323
