Line,Score,FlashScore,FixFreq,BlockFreq
org.jfree.data.time.Week#175,0.5,2.475478445180984,220,369
org.jfree.data.time.Week#221,0.5,0.7773716682910036,683,3648
org.jfree.data.time.Week#212,0.5,0.6894552093631371,45,271
org.jfree.data.time.Week#219,0.5,0.5949459662902175,142,991
org.jfree.data.time.Week#189,0.5,0.5240454590261775,364,2884
org.jfree.data.time.Week#211,0.5,0.5064643995439324,106,869
org.jfree.data.time.Week#198,0.5,0.3968873697036491,52,544
org.jfree.data.time.Week#205,0.5,0.3948366889545271,126,1325
org.jfree.data.time.Week#204,0.5,0.327560643652413,74,938
org.jfree.data.time.Week#199,0.5,0.30103800492727584,53,731
org.jfree.data.time.Week#195,0.5,0.282137440532037,67,986
org.jfree.data.time.Week#215,0.5,0.278039228775908,15,224
org.jfree.data.time.Week#192,0.5,0.2695351356613908,89,1371
org.jfree.data.time.Week#248,0.3333333333333333,2.2469209819699216,7330,13545
org.jfree.data.time.Week#289,0.045454545454545456,1.3275875965128336,894,2796
org.jfree.data.time.Week#288,0.045454545454545456,0.8075579950304989,523,2689
org.jfree.data.time.Week#388,0.045454545454545456,0.7218000216542474,424,2439
org.jfree.data.time.Week#413,0.045454545454545456,0.7218000216542474,424,2439
org.jfree.data.time.Week#380,0.045454545454545456,0.6560000488423965,920,5823
org.jfree.data.time.Week#405,0.045454545454545456,0.6560000488423965,920,5823
org.jfree.data.time.Week#134,0.045454545454545456,0.6028741310288541,248,1708
org.jfree.data.time.Week#390,0.045454545454545456,0.5651922511259863,1031,7574
org.jfree.data.time.Week#415,0.045454545454545456,0.5651922511259863,1031,7574
org.jfree.data.time.Week#381,0.045454545454545456,0.5501621518540953,543,4098
org.jfree.data.time.Week#406,0.045454545454545456,0.5501621518540953,543,4098
org.jfree.data.time.Week#133,0.045454545454545456,0.5432592033901853,42,321
org.jfree.data.time.Week#128,0.045454545454545456,0.41691861246617584,73,727
org.jfree.data.time.Week#383,0.045454545454545456,0.23637554108729664,1588,27894
org.jfree.data.time.Week#384,0.045454545454545456,0.23637554108729664,1588,27894
org.jfree.data.time.Week#385,0.045454545454545456,0.23637554108729664,1588,27894
org.jfree.data.time.Week#386,0.045454545454545456,0.23637554108729664,1588,27894
org.jfree.data.time.Week#408,0.045454545454545456,0.23637554108729664,1588,27894
org.jfree.data.time.Week#409,0.045454545454545456,0.23637554108729664,1588,27894
org.jfree.data.time.Week#410,0.045454545454545456,0.23637554108729664,1588,27894
org.jfree.data.time.Week#411,0.045454545454545456,0.23637554108729664,1588,27894
org.jfree.data.time.Week#382,0.045454545454545456,0.20438990852467043,668,13570
org.jfree.data.time.Week#407,0.045454545454545456,0.20438990852467043,668,13570
org.jfree.data.time.Week#387,0.045454545454545456,0.18237529737706892,484,11019
org.jfree.data.time.Week#412,0.045454545454545456,0.18237529737706892,484,11019
org.jfree.data.time.Week#132,0.045454545454545456,0.16897888012427276,7,172
org.jfree.data.time.Week#176,-2.0,0.0,0,0
org.jfree.data.time.Week#188,-2.0,0.0,0,0
org.jfree.data.time.Week#222,-2.0,0.0,0,0
org.jfree.data.time.RegularTimePeriod#70,-22.0,0.0,0,0
org.jfree.data.time.RegularTimePeriod#161,-22.0,0.0,0,0
org.jfree.data.time.Week#127,-22.0,0.0,0,0
org.jfree.data.time.Week#135,-22.0,0.0,0,0
org.jfree.data.time.Week#290,-22.0,0.0,0,0
